order_id,customer_id,product_id,date,quantity,unit_price,total_price
8001,1088,3,2023-03-21,1,231.15,231.15
8002,1082,17,2023-02-24,2,267.37,534.74
8003,1019,5,2023-04-04,1,365.41,365.41
8004,1089,14,2023-02-10,2,451.45,902.9
8005,1095,14,2023-01-10,3,237.75,713.25
8006,1066,14,2023-08-14,5,375.7,1878.5
8007,1070,11,2023-04-26,1,72.33,72.33
8008,1031,20,2023-12-06,3,171.1,513.3
8009,1068,13,2023-04-17,3,67.86,203.58
8010,1084,9,2023-01-07,1,348.95,348.95
8011,1029,20,2023-01-21,1,454.75,454.75
8012,1019,2,2023-09-09,1,445.64,445.64
8013,1057,12,2023-11-27,4,169.96,679.84
8014,1028,8,2023-04-11,2,124.77,249.54
8015,1023,16,2023-08-03,1,144.28,144.28
8016,1000,1,2023-02-13,1,150.79,150.79
8017,1088,16,2023-08-11,2,50.3,100.6
8018,1026,6,2023-07-29,2,75.34,150.68
8019,1088,20,2023-12-10,1,115.1,115.1
8020,1020,6,2023-08-02,2,14.0,28.0
8021,1016,3,2023-10-20,5,33.14,165.7
8022,1091,9,2023-08-27,1,352.29,352.29
8023,1031,19,2023-03-06,3,313.47,940.41
8024,1043,3,2023-09-11,1,473.26,473.26
8025,1097,7,2023-01-06,1,206.86,206.86
8026,1021,14,2023-10-21,3,227.72,683.16
8027,1041,14,2023-08-09,1,43.19,43.19
8028,1082,3,2023-11-09,1,84.6,84.6
8029,1061,5,2023-07-22,1,348.89,348.89
8030,1047,5,2023-03-11,2,125.17,250.34
8031,1007,19,2023-03-06,1,388.91,388.91
8032,1001,10,2023-09-09,2,355.78,711.56
8033,1004,9,2023-07-02,3,376.16,1128.48
8034,1027,16,2023-04-22,1,348.39,348.39
8035,1003,9,2023-09-09,1,356.75,356.75
8036,1052,6,2023-10-18,3,277.93,833.79
8037,1099,5,2023-10-07,1,342.34,342.34
8038,1000,4,2023-10-21,2,267.83,535.66
8039,1078,20,2023-01-03,3,110.98,332.94
8040,1076,18,2023-06-28,2,116.63,233.26
8041,1094,16,2023-07-08,6,208.6,1251.6
8042,1080,7,2023-06-17,1,16.82,16.82
8043,1005,14,2023-02-23,2,445.76,891.52
8044,1087,17,2023-03-07,1,141.45,141.45
8045,1054,8,2023-04-25,2,35.25,70.5
8046,1051,11,2023-11-12,2,217.97,435.94
8047,1076,17,2023-09-28,4,409.64,1638.56
8048,1084,14,2023-08-02,2,204.7,409.4
8049,1023,9,2023-04-20,1,138.71,138.71
8050,1061,6,2023-07-02,4,277.0,1108.0
8051,1055,8,2023-09-17,3,291.45,874.35
8052,1085,17,2023-01-24,3,382.0,1146.0
8053,1092,13,2023-12-05,4,401.88,1607.52
8054,1023,13,2023-04-04,1,356.04,356.04
8055,1075,17,2023-09-13,3,12.22,36.66
8056,1019,19,2023-08-02,2,11.02,22.04
8057,1033,2,2023-12-25,1,488.95,488.95
8058,1014,18,2023-02-09,2,139.46,278.92
8059,1050,4,2023-10-10,3,148.35,445.05
8060,1003,7,2023-02-06,1,368.8,368.8
8061,1052,16,2023-09-14,3,294.98,884.94
8062,1013,19,2023-07-23,4,237.15,948.6
8063,1064,15,2023-07-30,1,67.06,67.06
8064,1032,14,2023-05-03,2,49.93,99.86
8065,1049,13,2023-10-22,2,354.78,709.56
8066,1062,20,2023-10-13,1,71.06,71.06
8067,1049,7,2023-10-03,3,223.55,670.65
8068,1092,15,2023-09-01,1,370.7,370.7
8069,1073,1,2023-09-07,1,462.37,462.37
8070,1035,2,2023-05-23,1,438.06,438.06
8071,1077,3,2023-09-06,1,433.38,433.38
8072,1085,5,2023-11-16,1,185.66,185.66
8073,1096,16,2023-03-08,2,464.31,928.62
8074,1091,17,2023-05-02,2,344.99,689.98
8075,1070,18,2023-08-23,2,444.38,888.76
8076,1099,16,2023-10-09,2,53.57,107.14
8077,1099,11,2023-08-08,1,29.38,29.38
8078,1049,3,2023-05-06,1,220.53,220.53
8079,1040,10,2023-09-19,4,415.73,1662.92
8080,1097,18,2023-08-26,5,210.18,1050.9
8081,1069,16,2023-02-01,3,443.48,1330.44
8082,1098,9,2023-07-22,3,125.04,375.12
8083,1026,1,2023-09-30,1,29.28,29.28
8084,1029,11,2023-06-23,1,383.03,383.03
8085,1031,11,2023-11-05,3,316.82,950.46
8086,1082,13,2023-08-26,1,225.64,225.64
8087,1021,8,2023-12-22,1,424.18,424.18
8088,1084,19,2023-04-20,1,413.85,413.85
8089,1068,9,2023-03-12,1,169.02,169.02
8090,1020,6,2023-05-24,2,420.61,841.22
8091,1055,4,2023-07-25,4,179.13,716.52
8092,1083,9,2023-12-23,2,314.73,629.46
8093,1030,15,2023-08-29,1,104.32,104.32
8094,1058,18,2023-04-01,1,139.45,139.45
8095,1069,4,2023-06-07,3,229.46,688.38
8096,1094,19,2023-07-26,2,164.15,328.3
8097,1042,16,2023-02-26,2,73.28,146.56
8098,1087,6,2023-02-25,4,246.34,985.36
8099,1053,12,2023-06-16,2,260.57,521.14
8100,1017,15,2023-05-07,2,87.77,175.54
8101,1054,15,2023-01-18,2,95.41,190.82
8102,1028,15,2023-03-16,1,24.38,24.38
8103,1060,16,2023-10-05,1,24.87,24.87
8104,1050,14,2023-09-16,1,185.73,185.73
8105,1075,8,2023-01-24,3,81.86,245.58
8106,1011,2,2023-11-04,1,460.35,460.35
8107,1092,15,2023-03-08,3,107.71,323.13
8108,1060,8,2023-05-03,1,42.32,42.32
8109,1070,11,2023-10-14,1,208.04,208.04
8110,1015,16,2023-02-22,2,104.31,208.62
8111,1011,8,2023-05-01,1,40.27,40.27
8112,1061,5,2023-07-05,3,378.84,1136.52
8113,1084,20,2023-10-14,3,282.98,848.94
8114,1067,4,2023-09-01,1,37.94,37.94
8115,1059,12,2023-03-17,1,239.33,239.33
8116,1080,10,2023-03-25,2,29.03,58.06
8117,1027,4,2023-12-30,2,183.61,367.22
8118,1063,19,2023-11-08,2,188.01,376.02
8119,1094,10,2023-10-19,2,413.26,826.52
8120,1071,19,2023-11-03,4,370.29,1481.16
8121,1049,19,2023-05-27,3,449.5,1348.5
8122,1025,11,2023-12-03,4,78.85,315.4
8123,1039,13,2023-12-26,4,271.54,1086.16
8124,1054,2,2023-01-05,2,19.89,39.78
8125,1030,14,2023-04-11,1,414.51,414.51
8126,1082,20,2023-04-10,1,189.62,189.62
8127,1070,18,2023-06-22,3,43.96,131.88
8128,1004,16,2023-04-18,1,169.08,169.08
8129,1012,4,2023-09-27,3,150.59,451.77
8130,1017,1,2023-01-28,2,385.34,770.68
8131,1081,3,2023-09-02,1,72.04,72.04
8132,1049,12,2023-09-22,3,282.33,846.99
8133,1083,3,2023-11-11,3,399.02,1197.06
8134,1086,18,2023-02-07,4,372.37,1489.48
8135,1035,4,2023-04-03,1,468.59,468.59
8136,1051,17,2023-06-02,3,10.31,30.93
8137,1032,12,2023-11-24,2,183.36,366.72
8138,1063,20,2023-02-17,2,191.1,382.2
8139,1070,8,2023-05-10,2,26.32,52.64
8140,1068,17,2023-01-06,4,410.46,1641.84
8141,1095,14,2023-03-02,2,347.56,695.12
8142,1072,20,2023-09-15,2,268.76,537.52
8143,1029,11,2023-12-05,4,208.46,833.84
8144,1095,8,2023-09-26,5,448.75,2243.75
