id,timestamp,category,value,flag
800,2023-01-01 00:00:00,B,4.031848914254579,0
801,2023-01-01 00:01:00,A,0.9798558320777255,0
802,2023-01-01 00:02:00,A,2.2832124266945324,0
803,2023-01-01 00:03:00,C,-0.8237608525127829,0
804,2023-01-01 00:04:00,D,5.372838848478319,0
805,2023-01-01 00:05:00,C,4.92613238907005,0
806,2023-01-01 00:06:00,A,6.696590097088402,0
807,2023-01-01 00:07:00,B,4.4867029797027875,0
808,2023-01-01 00:08:00,B,2.864459352664119,0
809,2023-01-01 00:09:00,D,6.264375584866983,0
810,2023-01-01 00:10:00,A,2.4830873379965674,0
811,2023-01-01 00:11:00,D,6.052038705466072,0
812,2023-01-01 00:12:00,A,5.083838520479427,0
813,2023-01-01 00:13:00,B,4.753117100343842,0
814,2023-01-01 00:14:00,A,5.665095662201981,0
815,2023-01-01 00:15:00,A,5.339756775040996,0
816,2023-01-01 00:16:00,D,3.0157737175483077,0
817,2023-01-01 00:17:00,C,0.19047073729915653,0
818,2023-01-01 00:18:00,B,0.6176056318368528,0
819,2023-01-01 00:19:00,A,0.7253198209487142,0
820,2023-01-01 00:20:00,C,7.978262347964206,0
821,2023-01-01 00:21:00,C,3.0636827914492444,0
822,2023-01-01 00:22:00,A,3.300074845098867,0
823,2023-01-01 00:23:00,A,3.335413855657059,0
824,2023-01-01 00:24:00,A,7.459919771326095,0
825,2023-01-01 00:25:00,A,1.4619121632557546,0
826,2023-01-01 00:26:00,A,6.601160059494099,0
827,2023-01-01 00:27:00,D,7.644993873166844,0
828,2023-01-01 00:28:00,D,9.596252672590712,0
829,2023-01-01 00:29:00,C,7.15878256028488,0
830,2023-01-01 00:30:00,A,4.650661519935203,1
831,2023-01-01 00:31:00,B,5.409859011417294,0
832,2023-01-01 00:32:00,C,3.533271140763871,1
833,2023-01-01 00:33:00,C,9.241840111564667,0
834,2023-01-01 00:34:00,A,7.432814674792033,0
835,2023-01-01 00:35:00,B,11.146220577022957,0
836,2023-01-01 00:36:00,C,2.2899008208332483,0
837,2023-01-01 00:37:00,C,7.41799844654083,0
838,2023-01-01 00:38:00,D,2.5550888775054923,0
839,2023-01-01 00:39:00,C,2.1929438316858243,0
840,2023-01-01 00:40:00,D,2.21907282992358,0
841,2023-01-01 00:41:00,D,2.575078722050019,0
842,2023-01-01 00:42:00,A,5.090842746610217,0
843,2023-01-01 00:43:00,B,2.814042568393464,0
844,2023-01-01 00:44:00,B,0.9866249277438466,1
845,2023-01-01 00:45:00,B,6.523592543364881,0
846,2023-01-01 00:46:00,A,-0.9433772839855623,0
847,2023-01-01 00:47:00,C,9.689527538168571,0
848,2023-01-01 00:48:00,C,9.578341550226225,0
849,2023-01-01 00:49:00,B,2.21427865552514,0
850,2023-01-01 00:50:00,D,9.26586828375308,0
851,2023-01-01 00:51:00,B,3.891544457600567,0
852,2023-01-01 00:52:00,C,8.99376106125627,0
