order_id,customer_id,product_id,date,quantity,unit_price,total_price
6001,1019,15,2023-12-28,4,148.63,594.52
6002,1034,1,2023-01-28,3,321.88,965.64
6003,1054,18,2023-04-17,5,298.34,1491.7
6004,1073,7,2023-10-07,3,371.06,1113.18
6005,1071,10,2023-01-28,6,323.85,1943.1
6006,1039,9,2023-07-05,1,171.77,171.77
6007,1045,19,2023-07-14,2,254.63,509.26
6008,1099,11,2023-05-26,2,443.52,887.04
6009,1094,4,2023-09-17,1,101.18,101.18
6010,1078,1,2023-12-26,2,194.6,389.2
6011,1041,12,2023-06-26,4,422.45,1689.8
6012,1017,1,2023-05-08,3,188.46,565.38
6013,1014,17,2023-04-16,3,211.99,635.97
6014,1082,20,2023-12-18,1,166.42,166.42
6015,1087,9,2023-07-30,2,450.77,901.54
6016,1098,8,2023-12-15,2,335.04,670.08
6017,1065,4,2023-11-18,2,112.3,224.6
6018,1012,8,2023-11-10,1,377.32,377.32
6019,1056,10,2023-01-11,3,28.87,86.61
6020,1008,18,2023-12-26,3,204.24,612.72
6021,1098,15,2023-11-17,1,455.79,455.79
6022,1065,19,2023-01-17,3,347.99,1043.97
6023,1015,20,2023-12-02,1,398.62,398.62
6024,1099,11,2023-03-07,4,466.34,1865.36
6025,1001,4,2023-04-23,1,389.53,389.53
6026,1015,9,2023-05-12,3,53.41,160.23
6027,1071,8,2023-03-12,1,123.01,123.01
6028,1000,16,2023-03-02,1,255.0,255.0
6029,1081,13,2023-11-10,3,16.79,50.37
6030,1025,5,2023-09-01,1,316.05,316.05
6031,1043,13,2023-11-05,2,332.05,664.1
6032,1004,19,2023-01-05,1,351.26,351.26
6033,1020,2,2023-11-13,4,282.31,1129.24
6034,1034,12,2023-01-21,5,231.67,1158.35
6035,1091,9,2023-07-05,2,429.22,858.44
6036,1053,1,2023-07-28,1,385.99,385.99
6037,1089,14,2023-08-19,1,310.06,310.06
6038,1095,7,2023-01-14,2,32.55,65.1
6039,1049,17,2023-12-18,1,350.03,350.03
6040,1043,14,2023-03-20,2,283.5,567.0
6041,1084,17,2023-07-01,1,349.81,349.81
6042,1003,2,2023-03-19,2,162.59,325.18
6043,1041,9,2023-10-24,1,390.72,390.72
6044,1040,15,2023-09-29,5,214.79,1073.95
6045,1035,16,2023-02-20,6,448.29,2689.74
6046,1023,9,2023-09-14,2,60.97,121.94
